Year,Dimension,Municipio,GeoCode,Value
2019,valor municipio,Niebla,21053.0,223.99
2019,valor municipio,Palma del Condado (La),21054.0,60.52
2019,valor municipio,Palos de la Frontera,21055.0,48.93
2019,valor municipio,Paterna del Campo,21056.0,132.73
2019,valor municipio,Paymogo,21057.0,214.04
2019,valor municipio,Puebla de Guzmán,21058.0,337.21
2019,valor municipio,Puerto Moral,21059.0,19.85
2019,valor municipio,Punta Umbría,21060.0,38.27
2019,valor municipio,Rociana del Condado,21061.0,72.07
2019,valor municipio,Rosal de la Frontera,21062.0,210.0
2019,valor municipio,San Bartolomé de la Torre,21063.0,56.75
2019,valor municipio,San Juan del Puerto,21064.0,45.39
2019,valor municipio,San Silvestre de Guzmán,21066.0,48.73
2019,valor municipio,Sanlúcar de Guadiana,21065.0,96.84
2019,valor municipio,Santa Ana la Real,21067.0,26.62
2019,valor municipio,Santa Bárbara de Casa,21068.0,146.96
2019,valor municipio,Santa Olalla del Cala,21069.0,203.17
2019,valor municipio,Trigueros,21070.0,118.22
2019,valor municipio,Valdelarco,21071.0,14.89
2019,valor municipio,Valverde del Camino,21072.0,219.06
2019,valor municipio,Villablanca,21073.0,98.58
2019,valor municipio,Villalba del Alcor,21074.0,62.47
2019,valor municipio,Villanueva de las Cruces,21075.0,34.46
2019,valor municipio,Villanueva de los Castillejos,21076.0,264.67
2019,valor municipio,Villarrasa,21077.0,72.32
2019,valor municipio,Zalamea la Real,21078.0,239.28
2019,valor municipio,Zarza-Perrunal (La),21902.0,44.71
2019,valor municipio,Zufre,21079.0,341.13
2019,valor municipio,Albanchez de Mágina,23001.0,38.8
2019,valor municipio,Alcalá la Real,23002.0,261.2
2019,valor municipio,Alcaudete,23003.0,236.71
2019,valor municipio,Aldeaquemada,23004.0,120.17
2019,valor municipio,Andújar,23005.0,964.29
2019,valor municipio,Arjona,23006.0,158.36
2019,valor municipio,Arjonilla,23007.0,42.53
2019,valor municipio,Arquillos,23008.0,65.74
2019,valor municipio,Arroyo del Ojanco,23905.0,57.26
2019,valor municipio,Baeza,23009.0,192.63
2019,valor municipio,Bailén,23010.0,117.06
2019,valor municipio,Baños de la Encina,23011.0,391.99
2019,valor municipio,Beas de Segura,23012.0,159.25
2019,valor municipio,Bedmar y Garcíez,23902.0,118.71
2019,valor municipio,Begíjar,23014.0,42.76
2019,valor municipio,Bélmez de la Moraleda,23015.0,49.4
2019,valor municipio,Benatae,23016.0,44.43
