Value,Disaggregation combinations using this value,Number of indicators
San Silvestre de Guzmán,7,7
Sanlúcar de Barrameda,7,7
Sanlúcar de Guadiana,7,7
Sanlúcar la Mayor,7,7
Santa Ana la Real,7,7
Santa Bárbara de Casa,7,7
Santa Cruz de Marchena,7,7
Santa Cruz del Comercio,7,7
Santa Elena,7,7
Santa Eufemia,7,7
Santa Fe de Mondújar,7,7
Santa Fe,7,7
Santa Olalla del Cala,7,7
Santaella,7,7
Santiago de Calatrava,7,7
Santiago-Pontones,7,7
Santiponce,7,7
Santisteban del Puerto,7,7
Santo Tomé,7,7
Saucejo (El),4,4
"Saucejo, El",3,3
Sayalonga,7,7
Sedella,7,7
Segura de la Sierra,7,7
Senés,7,7
Serón,7,7
Serrato,7,7
Setenil de las Bodegas,7,7
Sevilla,7,7
Sierra de Yeguas,7,7
Sierro,7,7
Siles,7,7
Somontín,7,7
Soportújar,7,7
Sorbas,7,7
Sorihuela del Guadalimar,7,7
Sorvilán,7,7
Suflí,7,7
Tabernas,7,7
Taberno,7,7
Taha (La),4,4
"Taha, La",3,3
Tahal,7,7
Tarifa,7,7
Teba,7,7
Terque,7,7
Tíjola,7,7
Tocina,7,7
Tolox,7,7
Tomares,7,7
Torre Alháquime,7,7
Torre-Cardela,7,7
Torreblascopedro,7,7
Torrecampo,7,7
Torredelcampo,7,7
Torredonjimeno,7,7
Torremolinos,7,7
Torrenueva Costa,7,7
Torreperogil,7,7
Torres de Albánchez,7,7
Torres,7,7
Torrox,7,7
Torvizcón,7,7
Totalán,7,7
Trebujena,7,7
Tres Villas (Las),4,4
"Tres Villas, Las",3,3
Trevélez,7,7
Trigueros,7,7
Turón,7,7
Turre,7,7
Turrillas,7,7
Úbeda,7,7
Ubrique,7,7
Ugíjar,7,7
Uleila del Campo,7,7
Umbrete,7,7
Urrácal,7,7
Utrera,7,7
Valdelarco,7,7
Valdepeñas de Jaén,7,7
Valderrubio,7,7
Valencina de la Concepción,7,7
Valenzuela,7,7
Valle de Abdalajís,7,7
Valle del Zalabí,7,7
Valle (El),4,4
"Valle, El",3,3
Válor,7,7
Valsequillo,7,7
Valverde del Camino,7,7
Vegas del Genil,7,7
Vejer de la Frontera,7,7
Velefique,7,7
Vélez-Blanco,7,7
Vélez de Benaudalla,7,7
Vélez-Málaga,7,7
Vélez-Rubio,7,7
Ventas de Huelma,7,7
Vera,7,7
Viator,7,7
Vícar,7,7
Victoria (La),4,4
"Victoria, La",3,3
Vilches,7,7
Villa de Otura,7,7
Villa del Río,7,7
Villablanca,7,7
Villacarrillo,7,7
Villafranca de Córdoba,7,7
Villaharta,7,7
Villalba del Alcor,7,7
Villaluenga del Rosario,7,7
Villamanrique de la Condesa,7,7
Villamartín,7,7
Villamena,7,7
Villanueva de Algaidas,7,7
Villanueva de Córdoba,7,7
Villanueva de la Concepción,7,7
Villanueva de la Reina,7,7
Villanueva de las Cruces,7,7
Villanueva de las Torres,7,7
Villanueva de los Castillejos,7,7
Villanueva de San Juan,7,7
Villanueva de Tapia,7,7
Villanueva del Ariscal,7,7
Villanueva del Arzobispo,7,7
Villanueva del Duque,7,7
Villanueva del Rey,7,7
Villanueva del Río y Minas,7,7
Villanueva del Rosario,7,7
Villanueva del Trabuco,7,7
Villanueva Mesía,7,7
Villaralto,7,7
Villardompardo,7,7
Villares (Los),4,4
"Villares, Los",3,3
Villarrasa,7,7
Villarrodrigo,7,7
Villatorres,7,7
Villaverde del Río,7,7
Villaviciosa de Córdoba,7,7
Viñuela,7,7
Viso del Alcor (El),4,4
"Viso del Alcor, El",3,3
Viso (El),4,4
"Viso, El",3,3
Víznar,7,7
Yunquera,7,7
Zafarraya,7,7
Zagra,7,7
Zahara,7,7
Zalamea la Real,7,7
Zarza-Perrunal (La),4,4
"Zarza-Perrunal, La",3,3
Zubia (La),4,4
"Zubia, La",3,3
Zufre,7,7
Zuheros,7,7
Zújar,7,7
Zurgena,7,7
